element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""651.14150""","=""0.00013""","=""1820""","=""""",,"=""32873.632""","=""48231.280""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""5""",,
Ti,1,"=""651.3474""","=""0.0005""","=""""","=""1.01e+06""",C+,"=""26564.400""","=""41917.1924""","=""3d3.(4F).4p""","=""y 5G*""","=""3""","=""3d2.4s.(4F).4d""","=""e 5H""","=""4""",,
Ti,1,"=""651.4330""","=""0.0005""","=""3""","=""8.20e+05""",C+,"=""26772.968""","=""42123.7378""","=""3d3.(4F).4p""","=""y 5G*""","=""5""","=""3d2.4s.(4F).4d""","=""e 5H""","=""6""",,
Ti,1,"=""652.0044""","=""0.0005""","=""4""","=""""",,"=""28702.778""","=""44040.0941""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""4""",,
Fe,1,"=""652.01676""","=""0.00013""","=""18600""","=""1.13e+05""",D+,"=""22838.323""","=""38175.355""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""3""",,
Ti,1,"=""652.1199""","=""0.0005""","=""2""","=""""",,"=""28788.380""","=""44122.9818""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5F""","=""5""",,
Ti,1,"=""652.2815""","=""0.0005""","=""5""","=""""",,"=""28638.841""","=""43969.6460""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""3""",,
Ti,1,"=""652.8381""","=""0.0005""","=""3""","=""""",,"=""28596.313""","=""43914.0450""","=""3d3.(4F).4p""","=""y 5F*""","=""1""","=""3d3.(4F).4d""","=""5F""","=""2""",,
Fe,1,"=""653.03382""","=""0.00005""","=""6000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""653.57341""","=""0.00013""","=""6600""","=""1.2e+06""",E,"=""36766.966""","=""52067.469""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
