element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""508.17675""","=""0.00008""","=""417""","=""""",,"=""29798.936""","=""49477.127""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""1F*""","=""3""",,
Fe,1,"=""508.22041""","=""0.00021""","=""138""","=""""",,"=""23783.619""","=""43460.121""","=""3d6.4s2""","=""b 3G""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5I*""","=""5""",,
Fe,1,"=""508.23521""","=""0.00008""","=""316""","=""1.8e+04""",E,"=""26351.040""","=""46026.971""","=""3d7.(2H).4s""","=""b 3H""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""6""",,
Ti,1,"=""508.2796""","=""0.0003""","=""5""","=""""",,"=""11531.761""","=""31206.007""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Fe,1,"=""508.47551""","=""0.00008""","=""23400""","=""4.06e+04""",A,"=""7728.060""","=""27394.691""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""",,
Fe,1,"=""508.5962""","=""0.0004""","=""76""","=""""",,"=""29798.936""","=""49460.902""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d7.(2G).4p""","=""v 3G*""","=""5""",,
Ti,1,"=""508.6750""","=""0.0003""","=""200""","=""""",,"=""11531.761""","=""31190.669""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""2""",,
Ti,1,"=""508.8478""","=""0.0003""","=""930""","=""1.4e+07""",D,"=""11531.761""","=""31184.010""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""1""",,
Fe,1,"=""508.95710""","=""0.00021""","=""229""","=""5.1e+05""",D,"=""33507.123""","=""53155.145""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,
Fe,1,"=""509.21925""","=""0.00008""","=""3550""","=""1.9e+07""",D,"=""34328.752""","=""53966.662""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""2""",,
Ti,1,"=""509.2270""","=""0.0006""","=""2q""","=""""",,"=""7255.355""","=""26892.936""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,
Ti,1,"=""509.7382""","=""0.0003""","=""6""","=""""",,"=""21469.488""","=""41087.404""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""","=""3d2.4s.(2F).5s""","=""e 1F""","=""3""",,
Fe,1,"=""509.84183""","=""0.00008""","=""4470""","=""""",,"=""34547.211""","=""54161.139""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,
Ti,1,"=""509.9793""","=""0.0003""","=""18""","=""""",,"=""25493.733""","=""45102.381""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""3""",,
Fe,1,"=""509.99929""","=""0.00008""","=""2290""","=""""",,"=""31686.351""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Fe,1,"=""510.01188""","=""0.00008""","=""6800""","=""4.83e+05""",D+,"=""17550.181""","=""37157.566""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""",,
Fe,1,"=""510.04981""","=""0.00008""","=""780""","=""2.79e+06""",B,"=""32133.991""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Ti,1,"=""510.1110""","=""0.0003""","=""4""","=""""",,"=""25493.733""","=""45097.323""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,
Ti,1,"=""510.2825""","=""0.0003""","=""7""","=""""",,"=""11776.812""","=""31373.807""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""3""",,
Ti,1,"=""510.4547""","=""0.0003""","=""43""","=""""",,"=""22081.189""","=""41671.567""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""","=""3d3.(2D1).4s""","=""1D""","=""2""",,
Fe,1,"=""510.54522""","=""0.00021""","=""245""","=""5.7e+04""",E,"=""24335.766""","=""43922.668""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",,
Fe,1,"=""510.56134""","=""0.00021""","=""224""","=""2.7e+05""",E,"=""33695.397""","=""53281.689""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""f 5G""","=""5""",,
Fe,1,"=""510.58598""","=""0.00021""","=""275""","=""1.8e+06""",E,"=""34547.211""","=""54132.551""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,
Ti,1,"=""510.7071""","=""0.0003""","=""2""","=""""",,"=""18037.213""","=""37617.894""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(2G).4p""","=""v 3G*""","=""4""",,
Fe,1,"=""510.88705""","=""0.00008""","=""15800""","=""4.18e+04""",A,"=""7985.785""","=""27559.583""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",,
Fe,1,"=""510.90641""","=""0.00008""","=""34700""","=""1.95e+05""",A,"=""12560.934""","=""32133.991""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,
Fe,1,"=""510.9827""","=""0.0005""","=""129""","=""""",,"=""36766.966""","=""56337.126""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).5d""","=""5D""","=""3""",,
Ti,1,"=""511.0855""","=""0.0003""","=""220""","=""""",,"=""11639.8109""","=""31206.007""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Na,1,"=""511.10""","=""0.02""","=""""","=""""",,"=""267282.3""","=""286849.5""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""",,
Fe,1,"=""511.10756""","=""0.00008""","=""1580""","=""""",,"=""34692.148""","=""54257.502""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Fe,1,"=""511.17826""","=""0.00008""","=""3090""","=""9.99e+05""",B,"=""28819.954""","=""48382.603""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d7.(2G).4p""","=""z 1H*""","=""5""",,
Fe,1,"=""511.18369""","=""0.00008""","=""40700""","=""4.93e+03""",A,"=""0.000""","=""19562.439""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""4""",,
Ti,1,"=""511.2468""","=""0.0003""","=""19""","=""""",,"=""25537.286""","=""45097.323""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""1""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,
Ti,1,"=""511.3537""","=""0.0003""","=""5""","=""""",,"=""25537.286""","=""45093.226""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""1""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,
Fe,1,"=""511.4342""","=""0.0004""","=""105""","=""""",,"=""39969.853""","=""59522.714""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(4D).4d""","=""3F""","=""3""",,
Ti,1,"=""511.4865""","=""0.0003""","=""1400""","=""8.41e+06""",C+,"=""11639.8109""","=""31190.669""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""2""",,
Ti,1,"=""511.5334""","=""0.0003""","=""3""","=""""",,"=""18141.265""","=""37690.327""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d3.(2G).4p""","=""v 3G*""","=""5""",,
Fe,1,"=""511.72034""","=""0.00008""","=""427""","=""5.8e+04""",E,"=""28819.954""","=""48361.882""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""4""",,
Ti,1,"=""512.1842""","=""0.0003""","=""1500""","=""""",,"=""20795.603""","=""40319.829""","=""3d3.(2H).4s""","=""a 1H""","=""5""","=""3d3.(2H).4p""","=""z 1I*""","=""6""",,
Fe,1,"=""512.30659""","=""0.00008""","=""1700""","=""7.9e+06""",D,"=""34547.211""","=""54066.773""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,
Ti,1,"=""512.3386""","=""0.0007""","=""5q""","=""""",,"=""25574.908""","=""45093.226""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""0""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,
Fe,1,"=""512.3400""","=""0.0005""","=""20""","=""""",,"=""28604.613""","=""48122.928""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""3""",,
Ti,1,"=""512.3509""","=""0.0003""","=""35""","=""""",,"=""18037.213""","=""37555.058""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(2G).4p""","=""v 3G*""","=""3""",,
Fe,1,"=""512.4708""","=""0.0004""","=""89""","=""""",,"=""35611.625""","=""55124.938""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,
Fe,1,"=""512.51473""","=""0.00008""","=""15100""","=""7.24e+04""",A,"=""8154.714""","=""27666.348""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""",,
Ti,1,"=""512.5500""","=""0.0003""","=""30""","=""""",,"=""12118.393""","=""31628.688""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""5""",,
Fe,1,"=""512.60474""","=""0.00021""","=""195""","=""""",,"=""26627.609""","=""46135.820""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""",,
Fe,1,"=""512.65449""","=""0.00008""","=""8300""","=""""",,"=""34039.516""","=""53545.833""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,
Fe,1,"=""512.7262""","=""0.0004""","=""200""","=""""",,"=""33412.717""","=""52916.295""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2D2).4p""","=""v 3P*""","=""2""",,
Fe,1,"=""512.7621""","=""0.0005""","=""1290bl""","=""3.2e+06""",E,"=""34328.752""","=""53830.975""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,
Ti,1,"=""512.8490""","=""0.0003""","=""21""","=""""",,"=""21588.495""","=""41087.404""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d2.4s.(2F).5s""","=""e 1F""","=""3""",,
Fe,1,"=""512.87877""","=""0.00008""","=""13500""","=""1.14e+04""",A,"=""7376.764""","=""26874.550""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",,
Ti,1,"=""512.8798""","=""0.0003""","=""55""","=""""",,"=""18192.570""","=""37690.327""","=""3d3.(2H).4s""","=""a 3H""","=""6""","=""3d3.(2G).4p""","=""v 3G*""","=""5""",,
Fe,1,"=""512.91080""","=""0.00021""","=""191""","=""3.80e+01""",A,"=""415.933""","=""19912.495""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""",,
Fe,1,"=""513.10598""","=""0.00008""","=""417""","=""5.5e+05""",E,"=""31805.071""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Fe,1,"=""513.28981""","=""0.00008""","=""1380""","=""2.58e+05""",D+,"=""17927.382""","=""37409.555""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""",,
Ti,1,"=""513.4359""","=""0.0003""","=""44""","=""""",,"=""18141.265""","=""37617.894""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d3.(2G).4p""","=""v 3G*""","=""4""",,
Fe,1,"=""513.51185""","=""0.00008""","=""20900""","=""""",,"=""33695.397""","=""53169.146""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""f 5G""","=""6""",,
Fe,1,"=""513.7524""","=""0.0004""","=""151""","=""6.8e+05""",E,"=""33765.306""","=""53229.941""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2D2).4p""","=""v 3P*""","=""1""",,
Fe,1,"=""513.88131""","=""0.00008""","=""6900""","=""1.0e+07""",D,"=""33695.397""","=""53155.145""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,
Fe,1,"=""514.06829""","=""0.00008""","=""22400""","=""9.16e+06""",B+,"=""24180.862""","=""43633.533""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""",,
Fe,1,"=""514.08944""","=""0.00008""","=""45700""","=""8.69e+06""",B+,"=""23711.456""","=""43163.326""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,
Fe,1,"=""514.31712""","=""0.00008""","=""2820""","=""4.86e+05""",D,"=""19552.478""","=""38995.736""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,
Fe,1,"=""514.39265""","=""0.00008""","=""1000""","=""""",,"=""34692.148""","=""54132.551""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,
Fe,1,"=""514.39736""","=""0.00008""","=""3890""","=""""",,"=""34328.752""","=""53768.979""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,
Fe,1,"=""514.43610""","=""0.00008""","=""15800""","=""2.40e+04""",D+,"=""7728.060""","=""27166.820""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""",,
Fe,1,"=""514.51564""","=""0.00021""","=""102""","=""7.3e+03""",E,"=""17726.988""","=""37162.746""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,
Fe,1,"=""514.65267""","=""0.00021""","=""363""","=""6.70e+04""",D+,"=""17726.988""","=""37157.566""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""",,
Ti,1,"=""514.6893""","=""0.0003""","=""2000""","=""9.60e+06""",C+,"=""11776.812""","=""31206.007""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Fe,1,"=""514.7740""","=""0.0004""","=""151""","=""2.7e+05""",E,"=""35257.324""","=""54683.322""","=""3d7.(4F).4p""","=""z 5G*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,
Ti,1,"=""514.8911""","=""0.0003""","=""2300""","=""4.58e+05""",B',"=""0.000""","=""19421.580""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""",,
Fe,1,"=""514.94767""","=""0.00008""","=""2040""","=""""",,"=""34547.211""","=""53966.662""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""2""",,
Fe,1,"=""514.96630""","=""0.00008""","=""3470""","=""""",,"=""34328.752""","=""53747.500""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Na,1,"=""515.02725""","=""0.00005""","=""1""","=""1.14e+06""",B+,"=""16956.17025""","=""36372.618""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.6s""","=""2S""","=""1/2""",,
Fe,1,"=""515.16315""","=""0.00021""","=""331""","=""""",,"=""28819.954""","=""48231.280""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""5""",,
Fe,1,"=""515.22741""","=""0.00008""","=""13800""","=""3.30e+04""",C,"=""7985.785""","=""27394.691""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""",,
Fe,1,"=""515.3346""","=""0.0005""","=""8700bl""","=""2.39e+04""",A,"=""8154.714""","=""27559.583""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",,
Ti,1,"=""515.3619""","=""0.0003""","=""2000""","=""3.51e+05""",B,"=""170.1328""","=""19573.974""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""4""",,
Na,1,"=""515.48380""","=""0.00005""","=""2""","=""2.27e+06""",B+,"=""16973.36619""","=""36372.618""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.6s""","=""2S""","=""1/2""",,
Fe,1,"=""516.04944""","=""0.00008""","=""1580""","=""""",,"=""34547.211""","=""53925.200""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""516.2735""","=""0.0004""","=""151""","=""""",,"=""34555.597""","=""53925.200""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""516.37104""","=""0.00008""","=""9800""","=""""",,"=""33695.397""","=""53061.318""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""g 5F""","=""5""",,
Na,1,"=""516.39""","=""0.02""","=""83""","=""1.5e+07""",D,"=""266933.9""","=""286300.4""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""5/2""",,
Fe,1,"=""516.59889""","=""0.00021""","=""380""","=""1.6e+06""",E,"=""35767.564""","=""55124.938""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,
Fe,1,"=""516.63488""","=""0.00021""","=""339""","=""""",,"=""33412.717""","=""52768.743""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2H).4p""","=""w 3H*""","=""4""",,
Fe,1,"=""516.68491""","=""0.00008""","=""3240""","=""""",,"=""34039.516""","=""53393.673""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,
Fe,1,"=""516.77209""","=""0.00008""","=""15500""","=""1.45e+03""",A,"=""0.000""","=""19350.891""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""",,
Mg,1,"=""516.87609""","=""""","=""42""","=""1.13e+07""",B+,"=""21850.405""","=""41197.403""","=""3s.3p""","=""3P*""","=""0""","=""3s.4s""","=""3S""","=""1""",,
Fe,1,"=""516.89274""","=""0.00008""","=""760000""","=""2.72e+06""",B+,"=""11976.239""","=""31322.613""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""",,
Fe,1,"=""516.9150""","=""0.0004""","=""398""","=""""",,"=""27543.003""","=""46888.517""","=""3d7.(2P).4s""","=""a 1P""","=""1""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,
Fe,1,"=""517.03375""","=""0.00008""","=""22400""","=""3.83e+03""",A,"=""415.933""","=""19757.032""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""",,
Fe,1,"=""517.0738""","=""0.0004""","=""158""","=""""",,"=""32873.632""","=""52213.230""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2D2).4p""","=""t 3D*""","=""3""",,
Ti,1,"=""517.1961""","=""0.0003""","=""24""","=""""",,"=""18287.554""","=""37622.575""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d.4s2.4p""","=""x 1F*""","=""3""",,
Fe,1,"=""517.2754""","=""0.0004""","=""141""","=""""",,"=""39969.853""","=""59301.904""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(4D).4d""","=""3F""","=""4""",,
Fe,1,"=""517.30364""","=""0.00008""","=""162000""","=""4.46e+05""",A,"=""11976.239""","=""31307.245""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""",,
Fe,1,"=""517.31132""","=""0.00008""","=""710""","=""""",,"=""29371.812""","=""48702.535""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,
Mg,1,"=""517.41250""","=""""","=""44""","=""3.37e+07""",B+,"=""21870.464""","=""41197.403""","=""3s.3p""","=""3P*""","=""1""","=""3s.4s""","=""3S""","=""1""",,
Fe,1,"=""517.45657""","=""0.00021""","=""182""","=""""",,"=""23783.619""","=""43108.917""","=""3d6.4s2""","=""b 3G""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5H*""","=""4""",,
Fe,1,"=""517.4944""","=""0.0004""","=""186""","=""""",,"=""24118.819""","=""43442.705""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5I*""","=""4""",,
Ti,1,"=""517.5181""","=""0.0003""","=""15000""","=""4.23e+06""",B,"=""0.000""","=""19322.984""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""2""",,
Fe,1,"=""517.86756""","=""0.00021""","=""355""","=""1.2e+05""",E,"=""29798.936""","=""49108.896""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d7.(2G).4p""","=""w 3F*""","=""4""",,
Ti,1,"=""518.0091""","=""0.0003""","=""36""","=""""",,"=""8602.3441""","=""27907.013""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(1D).4s.4p.(1P*)""","=""y 1D*""","=""2""",,
Fe,1,"=""518.02425""","=""0.00021""","=""234""","=""4.2e+05""",E,"=""35379.208""","=""54683.322""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,
Fe,1,"=""518.3666""","=""0.0005""","=""50""","=""""",,"=""40231.336""","=""59522.714""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.4s.(4D).4d""","=""3F""","=""3""",,
Ti,1,"=""518.4621""","=""0.0003""","=""29""","=""""",,"=""22081.189""","=""41368.996""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,
Mg,1,"=""518.50478""","=""""","=""45""","=""5.61e+07""",A,"=""21911.178""","=""41197.403""","=""3s.3p""","=""3P*""","=""2""","=""3s.4s""","=""3S""","=""1""",,
Ti,1,"=""518.5253""","=""0.0003""","=""75""","=""""",,"=""8602.3441""","=""27887.803""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5P*""","=""3""",,
Fe,1,"=""518.56195""","=""0.00022""","=""170""","=""""",,"=""34782.421""","=""54066.518""","=""3d7.(4F).4p""","=""z 5G*""","=""5""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,
Fe,1,"=""518.57095""","=""0.00008""","=""1150""","=""3.8e+06""",D,"=""34547.211""","=""53830.975""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,
Fe,1,"=""518.71699""","=""0.00022""","=""720""","=""""",,"=""28819.954""","=""48098.293""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""1I*""","=""6""",,
Ti,1,"=""518.7772""","=""0.0003""","=""120""","=""3.79e+06""",B+,"=""17075.258""","=""36351.365""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""5""",,
Ti,1,"=""518.9331""","=""0.0007""","=""5q""","=""""",,"=""26494.330""","=""45764.562""","=""3d3.(4F).4p""","=""y 5G*""","=""2""","=""3d2.4s.(4F).6s""","=""h 5F""","=""1""",,
Fe,1,"=""518.93586""","=""0.00008""","=""910""","=""2.11e+06""",C+,"=""33412.717""","=""52682.920""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""",,
Ti,1,"=""519.0277""","=""0.0003""","=""15""","=""""",,"=""22404.739""","=""41671.567""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1F*""","=""3""","=""3d3.(2D1).4s""","=""1D""","=""2""",,
Ti,1,"=""519.1023""","=""0.0003""","=""46""","=""""",,"=""18061.387""","=""37325.410""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,
Fe,1,"=""519.29003""","=""0.00008""","=""31600""","=""2.32e+07""",B,"=""24506.917""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",,
Fe,1,"=""519.37899""","=""0.00008""","=""47900""","=""1.34e+07""",B+,"=""24180.862""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,
Ti,1,"=""519.4415""","=""0.0003""","=""17000""","=""3.86e+06""",B,"=""170.1328""","=""19421.580""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""",,
Ti,1,"=""519.5321""","=""0.0007""","=""25q""","=""""",,"=""18911.394""","=""38159.461""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""3""",,
Ti,1,"=""519.5400""","=""0.0003""","=""19""","=""""",,"=""8492.422""","=""27740.238""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5P*""","=""2""",,
